year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2050,2100
people,550771433,566170868,578489714,589018891,598746873,608359685,618226224,628412938,638727882,648794141,658270094,667084365,675641408,684909607,696171650,710290299,727601056,747678772,769666505,792308749,814622841,836431505,857804035,878305091,897479153,915040954,930744699,944726607,957584105,970179212,983170638,996667562,1010574797,1025090475,1040397958,1056579219,1073792041,1091904967,1110339206,1128297564,1145195229,1160799514,1175230312,1188687527,1201522570,1213986610,1226134423,1237849861,1249020152,1259476966,1269116737,1277903627,1285933789,1293396654,1300552134,1307593489,1314581402,1321481935,1328275524,1334908820,1341335152,1347565324,1353600687,1359368470,1295603763,941042001
